n.`朝代`
"[北宋, 南宋]"
[元]
[明]
[明]
"[北宋, 南宋]"
"[元, 明]"
"[元, 明]"
[明]
[明]
"[明, 清]"
[明]
[唐]
[南宋]
[南宋]
"[南宋, 元]"
[南宋]
[唐]
"[南宋, 元]"
"[元, 明]"
[明]
[元]
[明]
"[南宋, 元]"
[北宋]
[唐]
[北宋]
[北宋]
[北宋]
"[北宋, 南宋]"
"[北宋, 南宋]"
"[北宋, 南宋]"
"[北宋, 南宋]"
"[北宋, 南宋]"
"[北宋, 南宋]"
"[北宋, 南宋]"
"[北宋, 南宋]"
"[北宋, 南宋]"
[南宋]
"[北宋, 南宋]"
"[北宋, 南宋]"
[南宋]
[南宋]
[南宋]
[南宋]
[南宋]
[南宋]
[南宋]
[南宋]
[南宋]
"[南宋, 元]"
"[南宋, 元]"
"[南宋, 元]"
"[南宋, 元]"
[元]
"[南宋, 元]"
[元]
[元]
"[元, 明]"
[明]
"[元, 明]"
[明]
[明]
[明]
[明]
[明(永乐)]
[明]
[明]
"[明, 清]"
[明]
"[明, 清]"
"[明, 清]"
"[明, 清]"
"[明, 清]"
[明]
"[明, 清]"
"[明, 清]"
"[明, 清]"
[清康熙]
[南宋]
[唐]
[唐]
[唐]
[唐]
[唐]
[明]
[南宋]
"[南宋, 元]"
[南宋]
[南宋]
[南宋]
[南宋]
"[后唐, 北宋]"
[元]
[元]
[五代十国;]
[南宋]
[刘宋]
[刘宋]
"[元, 明]"
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[北宋]
[北宋]
[南宋]
[明]
[明]
[明]
[明]
[明]
[明]
[明]
[元]
[明]
[清]
[明]
[北宋]
[刘宋]
[北宋]
[南宋]
[元]
