年号一,年号二,公元
嘉靖四十,嘉靖辛酉,1561
嘉靖四十一,嘉靖壬戌,1562
嘉靖四十二,嘉靖癸亥,1563
嘉靖四十三,嘉靖甲子,1564
嘉靖四十四,嘉靖乙丑,1565
嘉靖四十五,嘉靖丙寅,1566
隆庆元,隆庆丁卯,1567
隆庆二,隆庆戊辰,1568
隆庆三,隆庆己巳,1569
隆庆四,隆庆庚午,1570
隆庆五,隆庆辛未,1571
隆庆六,隆庆壬申,1572
万历元,万历癸酉,1573
万历二,万历甲戌,1574
万历三,万历乙亥,1575
万历四,万历丙子,1576
万历五,万历丁丑,1577
万历六,万历戊寅,1578
万历七,万历己卯,1579
万历八,万历庚辰,1580
万历九,万历辛巳,1581
万历十,万历壬午,1582
万历十一,万历癸未,1583
万历十二,万历甲申,1584
万历十三,万历乙酉,1585
万历十四,万历丙戌,1586
万历十五,万历丁亥,1587
万历十六,万历戊子,1588
万历十七,万历己丑,1589
万历十八,万历庚寅,1590
万历十九,万历辛卯,1591
万历二十,万历壬辰,1592
万历二十一,万历癸巳,1593
万历二十二,万历甲午,1594
万历二十三,万历乙未,1595
万历二十四,万历丙申,1596
万历二十五,万历丁酉,1597
万历二十六,万历戊戌,1598
万历二十七,万历己亥,1599
万历二十八,万历庚子,1600
万历二十九,万历辛丑,1601
万历三十,万历壬寅,1602
万历三十一,万历癸卯,1603
万历三十二,万历甲辰,1604
万历三十三,万历乙巳,1605
万历三十四,万历丙午,1606
万历三十五,万历丁未,1607
万历三十六,万历戊申,1608
万历三十七,万历己酉,1609
万历三十八,万历庚戌,1610
万历三十九,万历辛亥,1611
万历四十,万历壬子,1612
万历四十一,万历癸丑,1613
万历四十二,万历甲寅,1614
万历四十三,万历乙卯,1615
万历四十四,万历丙辰,1616
万历四十五,万历丁巳,1617
万历四十六,万历戊午,1618
万历四十七,万历己未,1619
万历四十八,万历庚申,1620
泰昌元,泰昌庚申,1620
天启元,天启辛酉,1621
天启二,天启壬戌,1622
天启三,天启癸亥,1623
天启四,天启甲子,1624
天启五,天启乙丑,1625
天启六,天启丙寅,1626
天启七,天启丁卯,1627
崇祯元,崇祯戊辰,1628
崇祯二,崇祯己巳,1629
崇祯三,崇祯庚午,1630
崇祯四,崇祯辛未,1631
崇祯五,崇祯壬申,1632
崇祯六,崇祯癸酉,1633
崇祯七,崇祯甲戌,1634
崇祯八,崇祯乙亥,1635
崇祯九,崇祯丙子,1636
崇祯十,崇祯丁丑,1637
崇祯十一,崇祯戊寅,1638
崇祯十二,崇祯己卯,1639
崇祯十三,崇祯庚辰,1640
崇祯十四,崇祯辛巳,1641
崇祯十五,崇祯壬午,1642
崇祯十六,崇祯癸未,1643
崇祯十七,崇祯甲申,1644
弘光元,弘光乙酉,1645
隆武元,隆武乙酉,1645
隆武二,隆武丙戌,1646
永历元,永历丁亥,1647
永历二,永历戊子,1648
永历三,永历己丑,1649
永历四,永历庚寅,1650
永历五,永历辛卯,1651
永历六,永历壬辰,1652
永历七,永历癸巳,1653
永历八,永历甲午,1654
永历九,永历乙未,1655
永历十,永历丙申,1656
永历十一,永历丁酉,1657
永历十二,永历戊戌,1658
永历十三,永历己亥,1659
永历十四,永历庚子,1660
永历十五,永历辛丑,1661
永历十六,永历壬寅,1662
永历十七,永历癸卯,1663
永历十八,永历甲辰,1664
永历十九,永历乙巳,1665
永历二十,永历丙午,1666
永历二十一,永历丁未,1667
永历二十二,永历戊申,1668
永历二十三,永历己酉,1669
永历二十四,永历庚戌,1670
永历二十五,永历辛亥,1671
永历二十六,永历壬子,1672
永历二十七,永历癸丑,1673
永历二十八,永历甲寅,1674
永历二十九,永历乙卯,1675
永历三十,永历丙辰,1676
永历三十一,永历丁巳,1677
永历三十二,永历戊午,1678
永历三十三,永历己未,1679
永历三十四,永历庚申,1680
永历三十五,永历辛酉,1681
永历三十六,永历壬戌,1682
永历三十七,永历癸亥,1683
崇德元,崇德丙子,1636
崇德二,崇德丁丑,1637
崇德三,崇德戊寅,1638
崇德四,崇德己卯,1639
崇德五,崇德庚辰,1640
崇德六,崇德辛巳,1641
崇德七,崇德壬午,1642
崇德八,崇德癸未,1643
顺治元,顺治甲申,1644
顺治二,顺治乙酉,1645
顺治三,顺治丙戌,1646
顺治四,顺治丁亥,1647
顺治五,顺治戊子,1648
顺治六,顺治己丑,1649
顺治七,顺治庚寅,1650
顺治八,顺治辛卯,1651
顺治九,顺治壬辰,1652
顺治十,顺治癸巳,1653
顺治十一,顺治甲午,1654
顺治十二,顺治乙未,1655
顺治十三,顺治丙申,1656
顺治十四,顺治丁酉,1657
顺治十五,顺治戊戌,1658
顺治十六,顺治己亥,1659
顺治十七,顺治庚子,1660
顺治十八,顺治辛丑,1661
康熙元,康熙壬寅,1662
康熙二,康熙癸卯,1663
康熙三,康熙甲辰,1664
康熙四,康熙乙巳,1665
康熙五,康熙丙午,1666
康熙六,康熙丁未,1667
康熙七,康熙戊申,1668
康熙八,康熙己酉,1669
康熙九,康熙庚戌,1670
康熙十,康熙辛亥,1671
康熙十一,康熙壬子,1672
康熙十二,康熙癸丑,1673
康熙十三,康熙甲寅,1674
康熙十四,康熙乙卯,1675
康熙十五,康熙丙辰,1676
康熙十六,康熙丁巳,1677
康熙十七,康熙戊午,1678
康熙十八,康熙己未,1679
康熙十九,康熙庚申,1680
康熙二十,康熙辛酉,1681
康熙二十一,康熙壬戌,1682
康熙二十二,康熙癸亥,1683
康熙二十三,康熙甲子,1684
康熙二十四,康熙乙丑,1685
康熙二十五,康熙丙寅,1686
康熙二十六,康熙丁卯,1687
康熙二十七,康熙戊辰,1688
康熙二十八,康熙己巳,1689
康熙二十九,康熙庚午,1690
康熙三十,康熙辛未,1691
康熙三十一,康熙壬申,1692
康熙三十二,康熙癸酉,1693
康熙三十三,康熙甲戌,1694
康熙三十四,康熙乙亥,1695
康熙三十五,康熙丙子,1696
康熙三十六,康熙丁丑,1697
康熙三十七,康熙戊寅,1698
康熙三十八,康熙己卯,1699
康熙三十九,康熙庚辰,1700
康熙四十,康熙辛巳,1701
康熙四十一,康熙壬午,1702
康熙四十二,康熙癸未,1703
康熙四十三,康熙甲申,1704
康熙四十四,康熙乙酉,1705
康熙四十五,康熙丙戌,1706
康熙四十六,康熙丁亥,1707
康熙四十七,康熙戊子,1708
康熙四十八,康熙己丑,1709
康熙四十九,康熙庚寅,1710
康熙五十,康熙辛卯,1711
康熙五十一,康熙壬辰,1712
康熙五十二,康熙癸巳,1713
康熙五十三,康熙甲午,1714
康熙五十四,康熙乙未,1715
康熙五十五,康熙丙申,1716
康熙五十六,康熙丁酉,1717
康熙五十七,康熙戊戌,1718
康熙五十八,康熙己亥,1719
康熙五十九,康熙庚子,1720
康熙六十,康熙辛丑,1721
康熙六十一,康熙壬寅,1722
雍正元,雍正癸卯,1723
雍正二,雍正甲辰,1724
雍正三,雍正乙巳,1725
雍正四,雍正丙午,1726
雍正五,雍正丁未,1727
雍正六,雍正戊申,1728
雍正七,雍正己酉,1729
雍正八,雍正庚戌,1730
雍正九,雍正辛亥,1731
雍正十,雍正壬子,1732
雍正十一,雍正癸丑,1733
雍正十二,雍正甲寅,1734
雍正十三,雍正乙卯,1735
乾隆元,乾隆丙辰,1736
乾隆二,乾隆丁巳,1737
乾隆三,乾隆戊午,1738
乾隆四,乾隆己未,1739
乾隆五,乾隆庚申,1740
乾隆六,乾隆辛酉,1741
乾隆七,乾隆壬戌,1742
乾隆八,乾隆癸亥,1743
乾隆九,乾隆甲子,1744
乾隆十,乾隆乙丑,1745
乾隆十一,乾隆丙寅,1746
乾隆十二,乾隆丁卯,1747
乾隆十三,乾隆戊辰,1748
乾隆十四,乾隆己巳,1749
乾隆十五,乾隆庚午,1750
乾隆十六,乾隆辛未,1751
乾隆十七,乾隆壬申,1752
